zip_code,po_name,count_open_parks,year,all_school,countyname
27013,Cleveland,0,2005,2,Rowan County
27013,Cleveland,0,2005,2,Iredell County
27013,Cleveland,0,2006,2,Rowan County
27013,Cleveland,0,2006,2,Iredell County
27013,Cleveland,0,2007,2,Rowan County
27013,Cleveland,0,2007,2,Iredell County
27013,Cleveland,0,2008,3,Rowan County
27013,Cleveland,0,2008,3,Iredell County
27013,Cleveland,0,2009,2,Rowan County
27013,Cleveland,0,2009,2,Iredell County
27013,Cleveland,0,2010,2,Rowan County
27013,Cleveland,0,2010,2,Iredell County
27013,Cleveland,0,2011,3,Rowan County
27013,Cleveland,0,2011,3,Iredell County
27013,Cleveland,0,2012,3,Rowan County
27013,Cleveland,0,2012,3,Iredell County
27013,Cleveland,0,2013,2,Rowan County
27013,Cleveland,0,2013,2,Iredell County
27013,Cleveland,0,2014,2,Rowan County
27013,Cleveland,0,2014,2,Iredell County
27013,Cleveland,0,2015,2,Rowan County
27013,Cleveland,0,2015,2,Iredell County
27013,Cleveland,0,2016,2,Rowan County
27013,Cleveland,0,2016,2,Iredell County
27013,Cleveland,0,2017,3,Rowan County
27013,Cleveland,0,2017,3,Iredell County
27013,Cleveland,0,2018,3,Rowan County
27013,Cleveland,0,2018,3,Iredell County
27014,Cooleemee,0,2000,1,Davie County
27014,Cooleemee,0,2001,1,Davie County
27014,Cooleemee,0,2002,1,Davie County
27014,Cooleemee,0,2003,1,Davie County
27014,Cooleemee,0,2004,1,Davie County
27014,Cooleemee,0,2005,1,Davie County
27014,Cooleemee,0,2006,1,Davie County
27014,Cooleemee,0,2007,1,Davie County
27014,Cooleemee,0,2008,1,Davie County
27014,Cooleemee,0,2009,1,Davie County
27014,Cooleemee,0,2010,1,Davie County
27014,Cooleemee,0,2011,1,Davie County
27014,Cooleemee,0,2012,1,Davie County
27014,Cooleemee,0,2013,1,Davie County
27014,Cooleemee,0,2014,1,Davie County
27014,Cooleemee,0,2015,1,Davie County
27014,Cooleemee,0,2016,1,Davie County
27014,Cooleemee,0,2017,1,Davie County
27014,Cooleemee,0,2018,1,Davie County
27016,Danbury,0,2000,1,Stokes County
27016,Danbury,0,2001,1,Stokes County
27016,Danbury,0,2002,1,Stokes County
27016,Danbury,0,2003,1,Stokes County
27016,Danbury,0,2004,2,Stokes County
27016,Danbury,0,2005,3,Stokes County
27016,Danbury,0,2006,3,Stokes County
27016,Danbury,0,2007,3,Stokes County
27016,Danbury,0,2008,3,Stokes County
27016,Danbury,0,2009,3,Stokes County
27016,Danbury,0,2010,2,Stokes County
27016,Danbury,0,2011,2,Stokes County
27016,Danbury,0,2012,2,Stokes County
27016,Danbury,0,2013,2,Stokes County
27016,Danbury,0,2014,2,Stokes County
27016,Danbury,0,2015,3,Stokes County
27016,Danbury,0,2016,2,Stokes County
27016,Danbury,0,2017,2,Stokes County
27016,Danbury,0,2018,2,Stokes County
27017,Dobson,0,2000,1,Surry County
27017,Dobson,0,2000,1,Alleghany County
27017,Dobson,0,2001,1,Surry County
27017,Dobson,0,2001,1,Alleghany County
27017,Dobson,0,2002,1,Surry County
27017,Dobson,0,2002,1,Alleghany County
27017,Dobson,0,2003,1,Surry County
27017,Dobson,0,2003,1,Alleghany County
27017,Dobson,0,2004,4,Surry County
27017,Dobson,0,2004,4,Alleghany County
27017,Dobson,0,2005,4,Surry County
27017,Dobson,0,2005,4,Alleghany County
27017,Dobson,0,2006,5,Surry County
27017,Dobson,0,2006,5,Alleghany County
27017,Dobson,0,2007,5,Surry County
27017,Dobson,0,2007,5,Alleghany County
27017,Dobson,0,2008,5,Surry County
27017,Dobson,0,2008,5,Alleghany County
27017,Dobson,0,2009,5,Surry County
27017,Dobson,0,2009,5,Alleghany County
27017,Dobson,0,2010,5,Surry County
27017,Dobson,0,2010,5,Alleghany County
27017,Dobson,0,2011,6,Surry County
27017,Dobson,0,2011,6,Alleghany County
27017,Dobson,0,2012,6,Surry County
27017,Dobson,0,2012,6,Alleghany County
27017,Dobson,0,2013,6,Surry County
27017,Dobson,0,2013,6,Alleghany County
27017,Dobson,0,2014,6,Surry County
27017,Dobson,0,2014,6,Alleghany County
27017,Dobson,0,2015,6,Surry County
27017,Dobson,0,2015,6,Alleghany County
27017,Dobson,0,2016,6,Surry County
27017,Dobson,0,2016,6,Alleghany County
27017,Dobson,0,2017,7,Surry County
27017,Dobson,0,2017,7,Alleghany County
27017,Dobson,0,2018,7,Surry County
27017,Dobson,0,2018,7,Alleghany County
27018,East Bend,0,2004,4,Yadkin County
27018,East Bend,0,2005,4,Yadkin County
27018,East Bend,0,2006,4,Yadkin County
27018,East Bend,0,2007,4,Yadkin County
27018,East Bend,0,2008,5,Yadkin County
27018,East Bend,0,2009,5,Yadkin County
27018,East Bend,0,2010,5,Yadkin County
27018,East Bend,0,2011,5,Yadkin County
27018,East Bend,0,2012,5,Yadkin County
27018,East Bend,0,2013,5,Yadkin County
27018,East Bend,0,2014,5,Yadkin County
27018,East Bend,0,2015,5,Yadkin County
27018,East Bend,0,2016,5,Yadkin County
27018,East Bend,0,2017,5,Yadkin County
27018,East Bend,0,2018,5,Yadkin County
27019,Germanton,1,2003,1,Stokes County
27019,Germanton,1,2003,1,Forsyth County
27019,Germanton,1,2004,2,Stokes County
27019,Germanton,1,2004,2,Forsyth County
27019,Germanton,1,2005,2,Stokes County
27019,Germanton,1,2005,2,Forsyth County
27019,Germanton,1,2006,2,Stokes County
27019,Germanton,1,2006,2,Forsyth County
27019,Germanton,1,2007,2,Stokes County
27019,Germanton,1,2007,2,Forsyth County
27019,Germanton,1,2008,2,Stokes County
27019,Germanton,1,2008,2,Forsyth County
27019,Germanton,1,2009,2,Stokes County
27019,Germanton,1,2009,2,Forsyth County
27019,Germanton,1,2010,2,Stokes County
27019,Germanton,1,2010,2,Forsyth County
27019,Germanton,1,2011,2,Stokes County
27019,Germanton,1,2011,2,Forsyth County
27019,Germanton,1,2012,2,Stokes County
27019,Germanton,1,2012,2,Forsyth County
27019,Germanton,1,2013,2,Stokes County
27019,Germanton,1,2013,2,Forsyth County
27019,Germanton,1,2014,2,Stokes County
27019,Germanton,1,2014,2,Forsyth County
27019,Germanton,1,2015,2,Stokes County
27019,Germanton,1,2015,2,Forsyth County
27019,Germanton,1,2016,2,Stokes County
27019,Germanton,1,2016,2,Forsyth County
27019,Germanton,1,2017,2,Stokes County
27019,Germanton,1,2017,2,Forsyth County
27019,Germanton,1,2018,2,Stokes County
27019,Germanton,1,2018,2,Forsyth County
27020,Hamptonville,0,2003,1,Yadkin County
27020,Hamptonville,0,2003,1,Wilkes County
27020,Hamptonville,0,2003,1,Iredell County
27020,Hamptonville,0,2004,1,Yadkin County
27020,Hamptonville,0,2004,1,Wilkes County
27020,Hamptonville,0,2004,1,Iredell County
27020,Hamptonville,0,2005,1,Yadkin County
27020,Hamptonville,0,2005,1,Wilkes County
27020,Hamptonville,0,2005,1,Iredell County
27020,Hamptonville,0,2006,1,Yadkin County
27020,Hamptonville,0,2006,1,Wilkes County
27020,Hamptonville,0,2006,1,Iredell County
27020,Hamptonville,0,2007,2,Yadkin County
27020,Hamptonville,0,2007,2,Wilkes County
27020,Hamptonville,0,2007,2,Iredell County
27020,Hamptonville,0,2008,2,Yadkin County
27020,Hamptonville,0,2008,2,Wilkes County
27020,Hamptonville,0,2008,2,Iredell County
27020,Hamptonville,0,2009,1,Yadkin County
27020,Hamptonville,0,2009,1,Wilkes County
27020,Hamptonville,0,2009,1,Iredell County
27020,Hamptonville,0,2010,1,Yadkin County
27020,Hamptonville,0,2010,1,Wilkes County
27020,Hamptonville,0,2010,1,Iredell County
27020,Hamptonville,0,2011,2,Yadkin County
27020,Hamptonville,0,2011,2,Wilkes County
27020,Hamptonville,0,2011,2,Iredell County
27020,Hamptonville,0,2012,2,Yadkin County
27020,Hamptonville,0,2012,2,Wilkes County
27020,Hamptonville,0,2012,2,Iredell County
27020,Hamptonville,0,2013,2,Yadkin County
27020,Hamptonville,0,2013,2,Wilkes County
27020,Hamptonville,0,2013,2,Iredell County
27020,Hamptonville,0,2014,2,Yadkin County
27020,Hamptonville,0,2014,2,Wilkes County
27020,Hamptonville,0,2014,2,Iredell County
27020,Hamptonville,0,2015,2,Yadkin County
27020,Hamptonville,0,2015,2,Wilkes County
27020,Hamptonville,0,2015,2,Iredell County
27020,Hamptonville,0,2016,2,Yadkin County
27020,Hamptonville,0,2016,2,Wilkes County
27020,Hamptonville,0,2016,2,Iredell County
27020,Hamptonville,0,2017,2,Yadkin County
27020,Hamptonville,0,2017,2,Wilkes County
27020,Hamptonville,0,2017,2,Iredell County
27020,Hamptonville,0,2018,2,Yadkin County
27020,Hamptonville,0,2018,2,Wilkes County
27020,Hamptonville,0,2018,2,Iredell County
27021,King,2,2003,4,Stokes County
27021,King,2,2003,4,Forsyth County
27021,King,2,2004,5,Stokes County
27021,King,2,2004,5,Forsyth County
27021,King,2,2005,6,Stokes County
27021,King,2,2005,6,Forsyth County
27021,King,2,2006,6,Stokes County
27021,King,2,2006,6,Forsyth County
27021,King,2,2007,6,Stokes County
27021,King,2,2007,6,Forsyth County
27021,King,2,2008,6,Stokes County
27021,King,2,2008,6,Forsyth County
27021,King,2,2009,6,Stokes County
27021,King,2,2009,6,Forsyth County
27021,King,2,2010,6,Stokes County
27021,King,2,2010,6,Forsyth County
27021,King,2,2011,7,Stokes County
27021,King,2,2011,7,Forsyth County
27021,King,2,2012,7,Stokes County
27021,King,2,2012,7,Forsyth County
27021,King,2,2013,7,Stokes County
27021,King,2,2013,7,Forsyth County
27021,King,2,2014,7,Stokes County
27021,King,2,2014,7,Forsyth County
27021,King,2,2015,7,Stokes County
27021,King,2,2015,7,Forsyth County
27021,King,2,2016,7,Stokes County
27021,King,2,2016,7,Forsyth County
27021,King,2,2017,7,Stokes County
27021,King,2,2017,7,Forsyth County
27021,King,2,2018,7,Stokes County
27021,King,2,2018,7,Forsyth County
27022,Lawsonville,0,2003,1,Stokes County
27022,Lawsonville,0,2004,1,Stokes County
27022,Lawsonville,0,2005,1,Stokes County
27022,Lawsonville,0,2006,1,Stokes County
27022,Lawsonville,0,2007,1,Stokes County
27022,Lawsonville,0,2008,1,Stokes County
27022,Lawsonville,0,2009,1,Stokes County
27022,Lawsonville,0,2010,1,Stokes County
27022,Lawsonville,0,2011,1,Stokes County
27022,Lawsonville,0,2012,1,Stokes County
27022,Lawsonville,0,2013,1,Stokes County
27022,Lawsonville,0,2014,1,Stokes County
27022,Lawsonville,0,2015,1,Stokes County
27022,Lawsonville,0,2016,2,Stokes County
27022,Lawsonville,0,2017,2,Stokes County
27022,Lawsonville,0,2018,2,Stokes County
27023,Lewisville,5,2000,1,Forsyth County
27023,Lewisville,5,2001,1,Forsyth County
27023,Lewisville,5,2002,1,Forsyth County
27023,Lewisville,5,2003,1,Forsyth County
27023,Lewisville,5,2004,1,Forsyth County
27023,Lewisville,5,2005,2,Forsyth County
27023,Lewisville,5,2006,2,Forsyth County
27023,Lewisville,5,2007,2,Forsyth County
27023,Lewisville,5,2008,2,Forsyth County
27023,Lewisville,5,2009,2,Forsyth County
27023,Lewisville,5,2010,2,Forsyth County
27023,Lewisville,5,2011,2,Forsyth County
27023,Lewisville,5,2012,2,Forsyth County
27023,Lewisville,5,2013,2,Forsyth County
27023,Lewisville,5,2014,2,Forsyth County
27023,Lewisville,5,2015,2,Forsyth County
27023,Lewisville,5,2016,2,Forsyth County
27023,Lewisville,5,2017,1,Forsyth County
27023,Lewisville,5,2018,1,Forsyth County
27024,Lowgap,0,2000,1,Surry County
27024,Lowgap,0,2001,1,Surry County
27024,Lowgap,0,2002,1,Surry County
27024,Lowgap,0,2003,1,Surry County
27024,Lowgap,0,2004,1,Surry County
27024,Lowgap,0,2005,1,Surry County
27024,Lowgap,0,2006,1,Surry County
27024,Lowgap,0,2007,1,Surry County
27024,Lowgap,0,2008,1,Surry County
27024,Lowgap,0,2009,2,Surry County
27024,Lowgap,0,2010,2,Surry County
27024,Lowgap,0,2011,1,Surry County
27024,Lowgap,0,2012,1,Surry County
27024,Lowgap,0,2013,1,Surry County
27024,Lowgap,0,2014,1,Surry County
27024,Lowgap,0,2015,1,Surry County
27024,Lowgap,0,2016,1,Surry County
27024,Lowgap,0,2017,1,Surry County
27024,Lowgap,0,2018,1,Surry County
27025,Madison,5,2000,3,Stokes County
27025,Madison,5,2000,3,Rockingham County
27025,Madison,5,2001,3,Stokes County
27025,Madison,5,2001,3,Rockingham County
27025,Madison,5,2002,3,Stokes County
27025,Madison,5,2002,3,Rockingham County
27025,Madison,5,2003,4,Stokes County
27025,Madison,5,2003,4,Rockingham County
27025,Madison,5,2004,4,Stokes County
27025,Madison,5,2004,4,Rockingham County
27025,Madison,5,2005,4,Stokes County
27025,Madison,5,2005,4,Rockingham County
27025,Madison,5,2006,4,Stokes County
27025,Madison,5,2006,4,Rockingham County
27025,Madison,5,2007,4,Stokes County
27025,Madison,5,2007,4,Rockingham County
27025,Madison,5,2008,5,Stokes County
27025,Madison,5,2008,5,Rockingham County
27025,Madison,5,2009,5,Stokes County
27025,Madison,5,2009,5,Rockingham County
27025,Madison,5,2010,5,Stokes County
27025,Madison,5,2010,5,Rockingham County
27025,Madison,5,2011,4,Stokes County
27025,Madison,5,2011,4,Rockingham County
27025,Madison,5,2012,4,Stokes County
27025,Madison,5,2012,4,Rockingham County
27025,Madison,5,2013,4,Stokes County
27025,Madison,5,2013,4,Rockingham County
27025,Madison,5,2014,4,Stokes County
27025,Madison,5,2014,4,Rockingham County
27025,Madison,5,2015,4,Stokes County
27025,Madison,5,2015,4,Rockingham County
27025,Madison,5,2016,4,Stokes County
27025,Madison,5,2016,4,Rockingham County
27025,Madison,5,2017,4,Stokes County
27025,Madison,5,2017,4,Rockingham County
27025,Madison,5,2018,4,Stokes County
27025,Madison,5,2018,4,Rockingham County
27027,Mayodan,3,2000,1,Rockingham County
27027,Mayodan,3,2001,1,Rockingham County
27027,Mayodan,3,2002,1,Rockingham County
27027,Mayodan,3,2003,1,Rockingham County
27027,Mayodan,3,2004,1,Rockingham County
27027,Mayodan,3,2005,1,Rockingham County
27027,Mayodan,3,2006,1,Rockingham County
27027,Mayodan,3,2007,1,Rockingham County
27027,Mayodan,3,2008,1,Rockingham County
27027,Mayodan,3,2009,1,Rockingham County
27027,Mayodan,3,2010,1,Rockingham County
27027,Mayodan,3,2011,1,Rockingham County
27027,Mayodan,3,2012,1,Rockingham County
27027,Mayodan,3,2013,1,Rockingham County
27027,Mayodan,3,2014,1,Rockingham County
27027,Mayodan,3,2015,1,Rockingham County
27027,Mayodan,3,2016,1,Rockingham County
27027,Mayodan,3,2017,1,Rockingham County
27027,Mayodan,3,2018,1,Rockingham County
27028,Mocksville,1,2000,6,Iredell County
27028,Mocksville,1,2000,6,Davie County
27028,Mocksville,1,2001,6,Iredell County
27028,Mocksville,1,2001,6,Davie County
27028,Mocksville,1,2002,6,Iredell County
27028,Mocksville,1,2002,6,Davie County
27028,Mocksville,1,2003,7,Iredell County
27028,Mocksville,1,2003,7,Davie County
27028,Mocksville,1,2004,7,Iredell County
27028,Mocksville,1,2004,7,Davie County
27028,Mocksville,1,2005,7,Iredell County
27028,Mocksville,1,2005,7,Davie County
27028,Mocksville,1,2006,9,Iredell County
27028,Mocksville,1,2006,9,Davie County
27028,Mocksville,1,2007,10,Iredell County
27028,Mocksville,1,2007,10,Davie County
27028,Mocksville,1,2008,10,Iredell County
27028,Mocksville,1,2008,10,Davie County
27028,Mocksville,1,2009,10,Iredell County
27028,Mocksville,1,2009,10,Davie County
27028,Mocksville,1,2010,10,Iredell County
27028,Mocksville,1,2010,10,Davie County
27028,Mocksville,1,2011,10,Iredell County
27028,Mocksville,1,2011,10,Davie County
27028,Mocksville,1,2012,10,Iredell County
27028,Mocksville,1,2012,10,Davie County
27028,Mocksville,1,2013,10,Iredell County
27028,Mocksville,1,2013,10,Davie County
27028,Mocksville,1,2014,10,Iredell County
27028,Mocksville,1,2014,10,Davie County
27028,Mocksville,1,2015,10,Iredell County
27028,Mocksville,1,2015,10,Davie County
27028,Mocksville,1,2016,10,Iredell County
27028,Mocksville,1,2016,10,Davie County
27028,Mocksville,1,2017,10,Iredell County
27028,Mocksville,1,2017,10,Davie County
27028,Mocksville,1,2018,10,Iredell County
27028,Mocksville,1,2018,10,Davie County
27030,Mount Airy,5,2000,8,Surry County
27030,Mount Airy,5,2000,8,Stokes County
27030,Mount Airy,5,2001,7,Surry County
27030,Mount Airy,5,2001,7,Stokes County
27030,Mount Airy,5,2002,7,Surry County
27030,Mount Airy,5,2002,7,Stokes County
27030,Mount Airy,5,2003,7,Surry County
27030,Mount Airy,5,2003,7,Stokes County
27030,Mount Airy,5,2004,11,Surry County
27030,Mount Airy,5,2004,11,Stokes County
27030,Mount Airy,5,2005,11,Surry County
27030,Mount Airy,5,2005,11,Stokes County
27030,Mount Airy,5,2006,11,Surry County
27030,Mount Airy,5,2006,11,Stokes County
27030,Mount Airy,5,2007,12,Surry County
27030,Mount Airy,5,2007,12,Stokes County
27030,Mount Airy,5,2008,12,Surry County
27030,Mount Airy,5,2008,12,Stokes County
27030,Mount Airy,5,2009,12,Surry County
27030,Mount Airy,5,2009,12,Stokes County
27030,Mount Airy,5,2010,12,Surry County
27030,Mount Airy,5,2010,12,Stokes County
27030,Mount Airy,5,2011,12,Surry County
27030,Mount Airy,5,2011,12,Stokes County
27030,Mount Airy,5,2012,12,Surry County
27030,Mount Airy,5,2012,12,Stokes County
27030,Mount Airy,5,2013,11,Surry County
27030,Mount Airy,5,2013,11,Stokes County
27030,Mount Airy,5,2014,11,Surry County
27030,Mount Airy,5,2014,11,Stokes County
27030,Mount Airy,5,2015,11,Surry County
27030,Mount Airy,5,2015,11,Stokes County
27030,Mount Airy,5,2016,11,Surry County
27030,Mount Airy,5,2016,11,Stokes County
27030,Mount Airy,5,2017,12,Surry County
27030,Mount Airy,5,2017,12,Stokes County
27030,Mount Airy,5,2018,12,Surry County
27030,Mount Airy,5,2018,12,Stokes County
27049,Toast,5,2000,8,Surry County
27049,Toast,5,2001,7,Surry County
27049,Toast,5,2002,7,Surry County
27049,Toast,5,2003,7,Surry County
27049,Toast,5,2004,11,Surry County
27049,Toast,5,2005,11,Surry County
27049,Toast,5,2006,11,Surry County
27049,Toast,5,2007,12,Surry County
27049,Toast,5,2008,12,Surry County
27049,Toast,5,2009,12,Surry County
27049,Toast,5,2010,12,Surry County
27049,Toast,5,2011,12,Surry County
27049,Toast,5,2012,12,Surry County
27049,Toast,5,2013,11,Surry County
27049,Toast,5,2014,11,Surry County
27049,Toast,5,2015,11,Surry County
27049,Toast,5,2016,11,Surry County
27049,Toast,5,2017,12,Surry County
27049,Toast,5,2018,12,Surry County
27040,Pfafftown,2,2000,1,Forsyth County
27040,Pfafftown,2,2001,1,Forsyth County
27040,Pfafftown,2,2002,1,Forsyth County
27040,Pfafftown,2,2003,1,Forsyth County
27040,Pfafftown,2,2005,2,Forsyth County
27040,Pfafftown,2,2006,2,Forsyth County
27040,Pfafftown,2,2007,2,Forsyth County
27040,Pfafftown,2,2008,1,Forsyth County
27040,Pfafftown,2,2009,1,Forsyth County
27040,Pfafftown,2,2010,2,Forsyth County
27040,Pfafftown,2,2011,1,Forsyth County
27040,Pfafftown,2,2012,1,Forsyth County
27040,Pfafftown,2,2013,1,Forsyth County
27040,Pfafftown,2,2014,1,Forsyth County
27040,Pfafftown,2,2015,1,Forsyth County
27040,Pfafftown,2,2016,1,Forsyth County
27040,Pfafftown,2,2017,1,Forsyth County
27040,Pfafftown,2,2018,1,Forsyth County
27041,Pilot Mountain,0,2000,1,Surry County
27041,Pilot Mountain,0,2000,1,Stokes County
27041,Pilot Mountain,0,2001,1,Surry County
27041,Pilot Mountain,0,2001,1,Stokes County
27041,Pilot Mountain,0,2002,1,Surry County
27041,Pilot Mountain,0,2002,1,Stokes County
27041,Pilot Mountain,0,2003,1,Surry County
27041,Pilot Mountain,0,2003,1,Stokes County
27041,Pilot Mountain,0,2004,3,Surry County
27041,Pilot Mountain,0,2004,3,Stokes County
27041,Pilot Mountain,0,2005,3,Surry County
27041,Pilot Mountain,0,2005,3,Stokes County
27041,Pilot Mountain,0,2006,3,Surry County
27041,Pilot Mountain,0,2006,3,Stokes County
27041,Pilot Mountain,0,2007,3,Surry County
27041,Pilot Mountain,0,2007,3,Stokes County
27041,Pilot Mountain,0,2008,3,Surry County
27041,Pilot Mountain,0,2008,3,Stokes County
27041,Pilot Mountain,0,2009,3,Surry County
27041,Pilot Mountain,0,2009,3,Stokes County
27041,Pilot Mountain,0,2010,3,Surry County
27041,Pilot Mountain,0,2010,3,Stokes County
27041,Pilot Mountain,0,2011,4,Surry County
27041,Pilot Mountain,0,2011,4,Stokes County
27041,Pilot Mountain,0,2012,4,Surry County
27041,Pilot Mountain,0,2012,4,Stokes County
27041,Pilot Mountain,0,2013,4,Surry County
27041,Pilot Mountain,0,2013,4,Stokes County
27041,Pilot Mountain,0,2014,4,Surry County
27041,Pilot Mountain,0,2014,4,Stokes County
27041,Pilot Mountain,0,2015,4,Surry County
27041,Pilot Mountain,0,2015,4,Stokes County
27041,Pilot Mountain,0,2016,4,Surry County
27041,Pilot Mountain,0,2016,4,Stokes County
27041,Pilot Mountain,0,2017,4,Surry County
27041,Pilot Mountain,0,2017,4,Stokes County
