Date,Year,County,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,median_square_feet,average_listing_price,total_listing_count,violent_crime_rate,30_Year_Fixed_Rate,Number_of_Schools,median_listing_price_mm,Number_of_Parks,Price_Status
2022-06,2022,Burke,307000.0,59.0,41.0,60.0,0.0,20.0,1870.0,431735.0,149.0,,5.52,,0.119416591,118.0,up
2022-06,2022,Harnett,335000.0,294.0,19.0,356.0,24.0,72.0,2140.0,360702.0,699.0,,5.52,,-0.007113219,108.0,down
2022-06,2022,Martin,112500.0,32.0,39.0,12.0,0.0,8.0,1473.0,157618.0,53.0,,5.52,,-0.25,23.0,down
2022-06,2022,Bladen,222450.0,28.0,38.0,8.0,0.0,8.0,1747.0,462252.0,45.0,,5.52,,-0.069246862,9.0,down
2022-06,2022,Chowan,296000.0,44.0,45.0,20.0,0.0,16.0,1723.0,310210.0,74.0,,5.52,,,4.0,down
2022-06,2022,Bertie,135950.0,18.0,78.0,12.0,0.0,0.0,1463.0,148694.0,28.0,,5.52,,,10.0,down
2022-06,2022,Haywood,447500.0,193.0,37.0,156.0,4.0,100.0,1923.0,645097.0,367.0,,5.52,,0.001118568,26.0,up
2022-06,2022,Alexander,312450.0,34.0,35.0,28.0,0.0,20.0,1942.0,370648.0,59.0,,5.52,,0.016428107,25.0,up
2022-06,2022,Cumberland,269750.0,438.0,19.0,648.0,36.0,192.0,1950.0,296689.0,1548.0,,5.52,,0.068528421,83.0,up
2022-06,2022,Jackson,662500.0,253.0,44.0,124.0,0.0,56.0,2000.0,1277007.0,402.0,,5.52,,0.035965598,13.0,up
2022-06,2022,Vance,329000.0,48.0,42.0,28.0,0.0,16.0,1909.0,348407.0,73.0,,5.52,,-0.115591398,15.0,down
2022-06,2022,Greene,250000.0,13.0,42.0,4.0,0.0,4.0,1904.0,276290.0,36.0,,5.52,,,23.0,down
2022-06,2022,Chatham,757500.0,140.0,30.0,128.0,0.0,32.0,3035.0,836338.0,215.0,,5.52,,0.10989011,90.0,up
2022-06,2022,Watauga,620000.0,317.0,40.0,204.0,0.0,120.0,2039.0,855220.0,486.0,,5.52,,0.034195163,44.0,up
